2019-07-20 14:03:37
Running /home/shuell/projects/cpu-performance-study/build/benchmarks/col-vs-row-major/col-vs-row-major
Run on (8 X 3500 MHz CPU s)
CPU Caches:
  L1 Data 32K (x4)
  L1 Instruction 32K (x4)
  L2 Unified 256K (x4)
  L3 Unified 6144K (x1)
Load Average: 0.10, 0.15, 0.20
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"rowmajor/8_mean",5,228.366,228.153,ns,,,,,
"rowmajor/8_median",5,228.169,227.959,ns,,,,,
"rowmajor/8_stddev",5,0.833706,0.830143,ns,,,,,
"rowmajor/16_mean",5,868.671,867.868,ns,,,,,
"rowmajor/16_median",5,866.303,865.471,ns,,,,,
"rowmajor/16_stddev",5,9.72905,9.69906,ns,,,,,
"rowmajor/32_mean",5,3691.62,3687.9,ns,,,,,
"rowmajor/32_median",5,3686.99,3683.35,ns,,,,,
"rowmajor/32_stddev",5,9.06894,8.99111,ns,,,,,
"rowmajor/64_mean",5,14275.9,14260.1,ns,,,,,
"rowmajor/64_median",5,14295,14279.8,ns,,,,,
"rowmajor/64_stddev",5,108.574,107.928,ns,,,,,
"rowmajor/128_mean",5,55328.1,55269.4,ns,,,,,
"rowmajor/128_median",5,55051.6,54989.1,ns,,,,,
"rowmajor/128_stddev",5,421.567,421.307,ns,,,,,
"rowmajor/256_mean",5,219681,219395,ns,,,,,
"rowmajor/256_median",5,219036,218747,ns,,,,,
"rowmajor/256_stddev",5,1368.37,1367.88,ns,,,,,
"colmajor/8_mean",5,231.355,231.136,ns,,,,,
"colmajor/8_median",5,231.247,231.016,ns,,,,,
"colmajor/8_stddev",5,1.00807,1.0034,ns,,,,,
"colmajor/16_mean",5,891.013,890.157,ns,,,,,
"colmajor/16_median",5,891.699,890.835,ns,,,,,
"colmajor/16_stddev",5,7.01696,6.99576,ns,,,,,
"colmajor/32_mean",5,3776.8,3773.25,ns,,,,,
"colmajor/32_median",5,3766.39,3762.9,ns,,,,,
"colmajor/32_stddev",5,26.9207,26.8591,ns,,,,,
"colmajor/64_mean",5,14891.5,14877,ns,,,,,
"colmajor/64_median",5,14838.8,14824.5,ns,,,,,
"colmajor/64_stddev",5,122.771,122.62,ns,,,,,
"colmajor/128_mean",5,66325.1,66254.4,ns,,,,,
"colmajor/128_median",5,66318.7,66248.1,ns,,,,,
"colmajor/128_stddev",5,343.022,341.478,ns,,,,,
"colmajor/256_mean",5,332442,332009,ns,,,,,
"colmajor/256_median",5,331016,330585,ns,,,,,
"colmajor/256_stddev",5,3560.11,3537.17,ns,,,,,
